"Kod";"Nazwa";"Miesiące";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"ogółem";"2017";1397115;"osoba";"";
0000000;"POLSKA";"styczeń";"ogółem";"2018";1133738;"osoba";"";
0000000;"POLSKA";"styczeń";"ogółem";"2019";1023083;"osoba";"";
0000000;"POLSKA";"styczeń";"ogółem";"2020";922197;"osoba";"";
0000000;"POLSKA";"styczeń";"ogółem";"2021";1090365;"osoba";"";
0000000;"POLSKA";"styczeń";"mężczyźni";"2017";661527;"osoba";"";
0000000;"POLSKA";"styczeń";"mężczyźni";"2018";517573;"osoba";"";
0000000;"POLSKA";"styczeń";"mężczyźni";"2019";458409;"osoba";"";
0000000;"POLSKA";"styczeń";"mężczyźni";"2020";418559;"osoba";"";
0000000;"POLSKA";"styczeń";"mężczyźni";"2021";507014;"osoba";"";
0000000;"POLSKA";"styczeń";"kobiety";"2017";735588;"osoba";"";
0000000;"POLSKA";"styczeń";"kobiety";"2018";616165;"osoba";"";
0000000;"POLSKA";"styczeń";"kobiety";"2019";564674;"osoba";"";
0000000;"POLSKA";"styczeń";"kobiety";"2020";503638;"osoba";"";
0000000;"POLSKA";"styczeń";"kobiety";"2021";583351;"osoba";"";
0000000;"POLSKA";"luty";"ogółem";"2017";1383376;"osoba";"";
0000000;"POLSKA";"luty";"ogółem";"2018";1126730;"osoba";"";
0000000;"POLSKA";"luty";"ogółem";"2019";1016702;"osoba";"";
0000000;"POLSKA";"luty";"ogółem";"2020";919865;"osoba";"";
0000000;"POLSKA";"luty";"ogółem";"2021";1099538;"osoba";"";
0000000;"POLSKA";"luty";"mężczyźni";"2017";658600;"osoba";"";
0000000;"POLSKA";"luty";"mężczyźni";"2018";517193;"osoba";"";
0000000;"POLSKA";"luty";"mężczyźni";"2019";458545;"osoba";"";
0000000;"POLSKA";"luty";"mężczyźni";"2020";420957;"osoba";"";
0000000;"POLSKA";"luty";"mężczyźni";"2021";514380;"osoba";"";
0000000;"POLSKA";"luty";"kobiety";"2017";724776;"osoba";"";
0000000;"POLSKA";"luty";"kobiety";"2018";609537;"osoba";"";
0000000;"POLSKA";"luty";"kobiety";"2019";558157;"osoba";"";
