"Kod";"Nazwa";"Poziomy wykształcenia";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"ogółem";"2017";1081746;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2018";968888;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2019";866374;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2020";1046432;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2021";895203;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2017";486216;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2018";426246;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2019";386959;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2020";484826;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2021";413268;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2017";595530;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2018";542642;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2019";479415;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2020";561606;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2021";481935;"osoba";"";
0000000;"POLSKA";"wyższe";"ogółem";"2017";149491;"osoba";"";
0000000;"POLSKA";"wyższe";"ogółem";"2018";136492;"osoba";"";
0000000;"POLSKA";"wyższe";"ogółem";"2019";125187;"osoba";"";
0000000;"POLSKA";"wyższe";"ogółem";"2020";154081;"osoba";"";
0000000;"POLSKA";"wyższe";"ogółem";"2021";127705;"osoba";"";
0000000;"POLSKA";"wyższe";"mężczyźni";"2017";46372;"osoba";"";
0000000;"POLSKA";"wyższe";"mężczyźni";"2018";41677;"osoba";"";
0000000;"POLSKA";"wyższe";"mężczyźni";"2019";38653;"osoba";"";
0000000;"POLSKA";"wyższe";"mężczyźni";"2020";48699;"osoba";"";
0000000;"POLSKA";"wyższe";"mężczyźni";"2021";39982;"osoba";"";
0000000;"POLSKA";"wyższe";"kobiety";"2017";103119;"osoba";"";
0000000;"POLSKA";"wyższe";"kobiety";"2018";94815;"osoba";"";
0000000;"POLSKA";"wyższe";"kobiety";"2019";86534;"osoba";"";
0000000;"POLSKA";"wyższe";"kobiety";"2020";105382;"osoba";"";
0000000;"POLSKA";"wyższe";"kobiety";"2021";87723;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"ogółem";"2017";234599;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"ogółem";"2018";212854;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"ogółem";"2019";191614;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"ogółem";"2020";231457;"osoba";"";
